GEOID,Y_CntEst,Y_CntMOE,Y_UniEst,Y_UniMoe,Y_PctEst,Y_PctMOE,Y_Pctile,Y_Score,OA_UniEst,OA_UniMoe,OA_PctEst,OA_PctMOE,OA_CntEst,OA_CntMOE,OA_Pctile,OA_Score,F_CntEst,F_CntMOE,F_UniEst,F_UniMoe,F_PctEst,F_PctMOE,F_Pctile,F_Score,RM_CntEst,RM_CntMOE,RM_UniEst,RM_UniMoe,RM_PctEst,RM_PctMOE,RM_Pctile,RM_Score,EM_CntEst,EM_CntMOE,EM_UniEst,EM_UniMoe,EM_PctEst,EM_PctMOE,EM_Pctile,EM_Score,FB_CntEst,FB_CntMOE,FB_UniEst,FB_UniMoe,FB_PctEst,FB_PctMOE,FB_Pctile,FB_Score,LEP_CntEst,LEP_CntMOE,LEP_UniEst,LEP_UniMoe,LEP_PctEst,LEP_PctMOE,LEP_Pctile,LEP_Score,D_CntEst,D_CntMOE,D_UniEst,D_UniMoe,D_PctEst,D_PctMOE,D_Pctile,D_Score,LI_CntEst,LI_CntMOE,LI_UniEst,LI_UniMoe,LI_PctEst,LI_PctMOE,LI_Pctile,LI_Score,IPD_Score
42101007300,383,102,2450,291,0.156,0.042,0.11,1,2450,291,0.165,0.059,405,131,0.7,2,1572,224,2450,291,0.642,0.072,0.99,4,2396,292,2450,291,0.978,0.119,0.96,4,51,77,2450,291,0.021,0.031,0.24,1,138,88,2450,291,0.056,0.036,0.32,1,0,10,2333,304,0,0.01,0.01,0,413,142,2450,291,0.169,0.054,0.81,3,1231,273,2424,292,0.508,0.113,0.81,3,19
42101007400,1043,355,4467,576,0.233,0.079,0.59,2,4467,576,0.137,0.032,611,105,0.5,2,2559,473,4467,576,0.573,0.058,0.92,3,4048,593,4467,576,0.906,0.133,0.91,4,24,26,4467,576,0.005,0.006,0.05,1,97,69,4467,576,0.022,0.015,0.07,1,43,41,4022,462,0.011,0.011,0.16,1,798,187,4467,576,0.179,0.043,0.85,3,2791,486,4467,576,0.625,0.109,0.9,4,21
42101007700,83,47,2047,282,0.041,0.023,0.01,0,2047,282,0.029,0.014,60,26,0.01,0,1007,170,2047,282,0.492,0.055,0.23,1,1032,156,2047,282,0.504,0.076,0.75,3,52,35,2047,282,0.025,0.017,0.28,2,377,89,2047,282,0.184,0.043,0.85,3,109,42,2003,271,0.054,0.022,0.66,2,119,48,2035,281,0.058,0.024,0.08,1,982,191,1504,206,0.653,0.127,0.92,4,16
42101007800,483,135,4215,451,0.115,0.032,0.06,0,4215,451,0.079,0.027,334,130,0.11,1,1928,259,4215,451,0.457,0.054,0.04,1,1728,417,4215,451,0.41,0.099,0.7,2,223,137,4215,451,0.053,0.033,0.56,2,679,198,4215,451,0.161,0.047,0.81,3,232,109,4022,435,0.058,0.026,0.68,2,345,169,4088,435,0.084,0.036,0.23,1,1588,427,4088,435,0.388,0.104,0.73,2,14
42101007900,861,260,4762,617,0.181,0.055,0.22,1,4762,617,0.077,0.022,368,110,0.1,1,2391,373,4762,617,0.502,0.069,0.33,2,2305,473,4762,617,0.484,0.099,0.74,3,250,149,4762,617,0.052,0.031,0.55,2,445,196,4762,617,0.093,0.041,0.59,2,251,165,4452,577,0.056,0.037,0.67,2,454,218,4762,617,0.095,0.04,0.32,1,1666,699,4762,617,0.35,0.147,0.69,2,16
42101008000,806,280,3683,514,0.219,0.076,0.48,2,3683,514,0.124,0.028,457,89,0.4,2,2050,333,3683,514,0.557,0.048,0.85,3,3105,527,3683,514,0.843,0.143,0.88,4,226,142,3683,514,0.061,0.039,0.62,2,139,83,3683,514,0.038,0.023,0.18,1,86,59,3416,448,0.025,0.017,0.37,2,599,135,3683,514,0.163,0.035,0.79,3,1901,405,3669,512,0.518,0.11,0.82,3,22
42101008101,512,278,2632,421,0.195,0.106,0.3,2,2632,421,0.127,0.038,334,104,0.42,2,1509,319,2632,421,0.573,0.074,0.92,3,2625,420,2632,421,0.997,0.16,0.99,4,14,19,2632,421,0.005,0.007,0.05,1,181,162,2632,421,0.069,0.062,0.43,2,57,60,2421,347,0.024,0.024,0.36,1,512,158,2632,421,0.195,0.06,0.89,3,1588,523,2632,421,0.603,0.199,0.88,4,22
42101008102,1406,383,5442,561,0.258,0.07,0.77,3,5442,561,0.121,0.017,657,70,0.37,2,2943,402,5442,561,0.541,0.049,0.75,3,5416,564,5442,561,0.995,0.104,0.99,4,63,61,5442,561,0.012,0.011,0.12,1,198,116,5442,561,0.036,0.021,0.16,1,141,99,5044,493,0.028,0.021,0.42,2,822,209,5442,561,0.151,0.036,0.72,2,3481,704,5432,559,0.641,0.13,0.91,4,22
42101008200,1480,392,6896,958,0.215,0.057,0.45,2,6896,958,0.188,0.032,1294,201,0.82,3,3745,556,6896,958,0.543,0.053,0.77,3,6893,959,6896,958,1,0.139,0.99,4,5,22,6896,958,0.001,0.003,0.02,1,519,399,6896,958,0.075,0.058,0.47,2,84,130,6534,887,0.013,0.02,0.19,1,1583,332,6896,958,0.23,0.055,0.95,4,3968,989,6896,958,0.575,0.143,0.86,3,23
42101008301,845,248,4740,496,0.178,0.052,0.2,1,4740,496,0.237,0.038,1124,219,0.92,3,2506,299,4740,496,0.529,0.037,0.64,2,4654,497,4740,496,0.982,0.105,0.97,4,124,125,4740,496,0.026,0.026,0.3,2,203,128,4740,496,0.043,0.027,0.22,1,192,129,4495,492,0.043,0.029,0.59,2,1027,221,4308,463,0.238,0.046,0.95,4,2269,491,4281,461,0.53,0.115,0.82,3,22
