GEOID,RM_CntMOE
42101025900,630
42101026000,271
42101026100,464
42101026200,441
42101026301,476
42101026302,906
42101026400,746
42101026500,644
42101026600,773
42101026700,640
42101026800,635
42101026900,248
42101027000,373
42101027100,267
42101027200,521
42101027300,998
42101027401,458
42101027402,920
42101027500,644
42101027600,393
42101027700,604
42101027800,533
42101027901,616
42101027902,333
42101028000,521
42101028100,614
42101028200,604
42101028300,805
42101028400,639
42101028500,355
42101028600,1054
42101028700,295
42101028800,488
42101028901,586
42101028902,876
42101029000,1157
42101029100,596
42101029200,732
42101029300,363
42101029400,528
42101029800,488
42101029900,410
42101030000,877
42101030100,759
42101030200,862
42101030501,613
42101030502,662
42101030600,742
42101030700,419
42101030800,717
42101030900,514
42101031000,666
42101031101,706
42101031102,540
42101031200,618
42101031300,731
42101031401,861
42101031402,533
42101031501,350
42101031502,585
42101031600,895
42101031700,737
42101031800,496
42101031900,663
42101032000,750
42101032100,723
42101032300,313
42101032500,779
42101032600,639
42101032900,286
42101033000,705
42101033101,244
42101033102,133
42101033200,123
42101033300,241
42101033400,583
42101033500,491
42101033600,542
42101033701,766
42101033702,353
42101033800,635
42101033900,326
42101034000,257
42101034100,356
42101034200,284
42101034400,434
42101034501,303
42101034502,532
42101034600,316
42101034701,683
42101034702,259
42101034801,215
42101034802,548
42101034803,352
42101034900,659
42101035100,165
42101035200,190
42101035301,372
42101035302,235
42101035500,290
42101035601,289
42101035602,216
42101035701,481
42101035702,283
42101035800,705
42101035900,381
42101036000,351
42101036100,305
42101036201,242
42101036202,316
42101036203,180
42101036301,137
42101036302,413
42101036303,395
42101036400,120
42101036501,282
42101036502,281
42101036600,194
42101036700,172
42101036900,373
42101037200,414
42101037300,284
42101037500,497
42101037600,278
42101037700,689
42101037800,228
42101037900,91
42101038000,177
42101038100,116
42101038200,334
42101038300,423
42101038400,124
42101038500,146
42101038600,94
42101038700,197
42101038800,289
42101038900,511
42101039000,1145
42101980000,317
42101980100,23
42101980200,89
42101980300,0
42101980400,0
42101980500,0
42101980600,0
42101980700,0
42101980800,0
42101980900,0
42101989100,708
