GEOID10,OA_CntEst,OA_CntEst_n
42091201408,600,223
42091201407,361,121
42091207103,539,367
34015501303,613,301
34005703900,666,413
34005700504,565,200
34005700505,1167,642
34005700501,968,290
34021003704,430,628
34021002602,622,472
34021003703,709,507
34021000100,307,329
34021001600,98,281
34021001700,293,713
34021001800,476,524
34021001900,115,206
34021002000,119,115
34015501702,370,274
34021001000,510,255
34021001300,514,561
34021001200,508,323
34021001401,452,674
34005700900,340,554
34015501701,559,217
34021003301,1507,493
34021002904,738,378
34021004307,759,785
34021001102,368,422
34021003905,708,408
34015500400,676,83
34015501302,314,728
34015501208,993,544
34015501301,549,416
34015501603,1584,86
34015501202,635,529
34015501203,539,332
34015501205,293,918
34015502100,366,294
34007608401,379,356
34007604600,285,407
34007603506,1135,293
34007609203,991,559
34007608503,251,280
34007607702,738,256
34007603303,859,591
34007603603,416,339
34007608903,446,271
34007608901,761,418
34007608403,280,283
34007603602,451,253
34007603501,1090,296
34007607701,601,1039
34007607801,566,458
34007608206,609,269
34007609205,659,614
34007600700,145,224
34007609202,413,191
34007607505,789,602
34007603800,668,860
34007603002,565,646
34007601101,194,350
34007601200,503,446
34007601300,460,525
34007601000,343,462
34007601600,162,351
34007601102,477,325
34007601400,462,522
34007603301,784,261
34007603507,1352,510
34007603700,453,317
34007603505,520,520
34007609204,559,1149
34007604300,661,487
34007603400,1312,849
34007603200,1249,466
34007603302,828,551
34007607401,472,626
34007608700,1325,442
34007608302,801,710
34007600900,340,599
34007600400,307,822
34007602901,972,979
34007603001,414,707
34007601500,478,1045
34007602503,495,1064
34007609000,391,827
34007602602,324,1168
34007602601,370,1115
34007603100,589,756
34007608904,207,570
34007603601,805,356
34007607402,358,423
34007606100,283,378
34007607600,387,381
34007607504,468,314
34007607506,315,445
34007608304,893,364
34007610300,360,398
34007610400,424,1116
34007610600,303,667
34007607507,1030,446
34007608210,293,332
34007608211,867,609
34007608303,347,506
34007610500,703,714
34007610900,728,462
34007611000,498,419
34007611100,726,207
34007611200,773,358
34007611300,967,156
34007611400,456,276
34007611500,920,262
34007611600,654,372
34007611700,369,515
34005704011,430,322
34005704004,422,395
34005704005,766,240
34005701303,1036,186
34005701301,690,411
34005701302,384,264
34007610800,612,512
34007604100,183,359
34007609201,395,727
34007605200,420,299
34007603902,613,526
34007608800,943,1116
34007605100,339,413
34007608404,894,598
34007607200,623,346
34007605900,422,789
34005703000,948,384
34005702809,205,224
34005700703,138,383
34005700200,456,516
34005703201,626,414
34005703202,463,597
34005703203,2420,903
34005702400,459,495
34005702700,1041,664
34005702801,321,649
34007607000,749,343
34007604700,253,451
34007608001,418,737
34007604200,524,309
34007606000,470,312
34007606800,611,675
34007607502,1925,857
34007605602,337,371
34007605800,495,724
34007605700,497,620
34007603503,1021,577
34007607100,507,341
34005702802,737,1319
34005702803,669,1175
34005704013,603,649
34005704014,1498,686
34005702207,516,1033
34005700603,743,815
34005703102,356,985
34005702804,472,425
34005702805,570,505
34005702806,425,723
34005702807,487,1209
34005702808,496,1797
34005702810,341,1142
34007606700,752,820
34007606600,350,468
34007607300,497,971
34005704200,854,665
34005704500,570,984
34005704600,306,873
34005704801,139,780
34005702209,279,599
34005702915,397,1604
34005704802,202,766
34007606300,422,738
34007605400,370,887
34007607900,284,1507
34007606400,547,1768
34007606500,624,589
34007608205,718,749
34007607503,1155,418
34007608209,572,1236
34007608504,366,1285
34007604400,524,1080
34005702811,575,572
34005702210,643,847
34005704302,702,1082
34005702913,765,846
34005702914,516,572
34005702917,266,388
34005702918,161,1147
34005703103,427,298
34005703104,712,991
34005702909,798,680
34005701402,1370,330
34005701401,1139,216
34005702907,911,155
34005702910,647,848
34007608202,586,1439
34007606200,759,522
34005700407,503,196
34005700408,327,185
34005981802,4,297
34005982111,0,831
34005704700,565,234
34007601900,311,57
34007601700,283,239
34007603504,510,195
34007602000,277,486
34007609103,737,452
34007605300,217,344
34007600800,509,585
34007600200,172,730
34007608600,563,571
34007602902,422,504
34007608402,590,12
34007601800,113,34
34007603901,1205,324
34007607802,320,33
